Mission;Titre;Activités;Compétences officielles;Tâches;Critères de performance disponibles;Savoirs associés;Statut (Découvert/Entraîné/Évalué)
M11;La trésorerie peut devenir négative dans les prochaines semaines;A2.4 Participation à la gestion des risques financiers de la PME;Évaluer et suivre les risques financiers de la PME en termes de trésorerie;T2.4.1 Identification des échéances à court et moyen terme | T2.4.2 Suivi des flux de trésorerie | T2.4.3 Évaluation des risques financiers à court et moyen terme | T2.4.4 Alerte des responsables de la PME | T2.4.5 Proposition de solutions | T2.4.6 Mise en œuvre et suivi des actions validées;Une analyse pertinente de la situation en prenant en compte les priorités, les contingences et les caractéristiques de la PME. | Un tableau de suivi des flux de trésorerie (budget de trésorerie) exact et son analyse pertinente. | L’identification des risques financiers inhérents. | La proposition du choix d'un mode de règlement. | Des opérations de suivi, de contrôle, de correction effectuées avec rigueur, réactivité et pertinence selon le projet ou le dossier pris en charge. | Une utilisation adaptée du PGI (avec une extraction de données) et du tableur | Une analyse pertinente de la situation de communication. | Une communication d’informations fiables et actualisées. | Une communication écrite ou orale pertinente et adaptée aux acteurs internes et externes. | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise. | L’utilisation pertinente de traitement de texte ou de logiciel de messagerie et de PréAO. | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte.;S2.4 Analyse des risques de trésorerie | S2.7.1 Fonctionnalités du PGI et d’outils bureautiques et numériques dans le cadre de la gestion des risques financiers | S5.2 Communication écrite opérationnelle;
M12;Un poste de travail semble dangereux : contribuer au DUERP sans jouer l’expert;A2.5 Participation à la gestion des risques non financiers de la PME | A2.3 Mise en œuvre d’une démarche de gestion des risques de la PME;Gérer des risques identifiés dans la PME | Identifier, évaluer les risques de l’entreprise et proposer des actions correctrices;T2.3.2 Conduite d’une veille relative à la réglementation et à la certification | T2.3.3 Identification des obligations légales | T2.3.4 Analyse, évaluation des risques et alerte éventuelle des dirigeants de la PME | T2.3.5 Proposition d’actions correctrices | T2.5.1 Gestion des risques liés à la santé, à l’hygiène et à la sécurité au travail | T2.3.1 Identification des risques | T2.3.6 Mise en œuvre, diffusion et suivi des actions validées;Une analyse pertinente de la situation de gestion du risque en prenant en compte les priorités, les contingences et les caractéristiques de la PME | L’identification, le recensement et l’évaluation des risques de l’entreprise associés à son activité | Une veille réglementaire | La mise en place d’une méthodologie de gestion du risque rigoureuse et adaptée aux risques identifiés | Des recommandations pertinentes sur les équipements et installations nécessaires à la mise en œuvre de conditions de travail optimales | La proposition de modalités de prévention des effets de l’exposition aux facteurs de risques professionnels, l’accompagnement de bonnes pratiques | Un fonctionnement sécurisé du système informatique en accord avec le prestataire informatique | Des opérations de saisie des données, de suivi, de contrôle, de correction effectuées avec rigueur, réactivité et pertinence selon le projet ou le dossier pris en charge | Des propositions d’actions correctives et la mise en place de procédures d’amélioration | La constitution de dossiers et/ou la production des documents, un archivage des informations conformes aux obligations légales | Une utilisation adaptée du PGI (avec une extraction de données) et du tableur. | Une analyse pertinente de la situation de communication. | Une communication écrite ou orale pertinente et adaptée aux acteurs internes et externes. | La conduite professionnelle d’un entretien et d’une réunion. | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise. | L’utilisation pertinente de traitement de texte ou de logiciel de messagerie et de PréAO. | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte. | Une analyse pertinente de la situation en prenant en compte les priorités, les contingences et les caractéristiques de la PME | L’identification, le recensement et l’évaluation des risques de l’entreprise | L’évaluation de la fiabilité et de la pertinence des sources d’information | La proposition et la mise en place d’un archivage des documents conformes aux obligations légales | La proposition et la mise en place de procédures d’amélioration du travail et des propositions d’actions correctives conformes aux obligations légales | Une utilisation adaptée du PGI (avec une extraction de données) et du tableur | Une analyse pertinente de la situation de communication | Une communication écrite ou orale pertinente et adaptée aux acteurs internes et externes | La conduite professionnelle d’entretiens et de réunions | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques) et des valeurs de l’entreprise | L’utilisation adaptée du traitement de texte, de PréAO | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S2.3 La gestion des risques | S2.5.1.1 La protection des salariés en matière d’hygiène et sécurité | S2.5.1.2 La protection des salariés par l’amélioration des conditions de travail | S2.5.2 La prévention des risques professionnels | S2.7 Fonctionnalités du PGI et d’outils bureautiques et numériques;
M13;Une machine est endommagée : préparer le dossier d’assurance sans promettre l’indemnisation;A2.5 Participation à la gestion des risques non financiers de la PME;Gérer des risques identifiés dans la PME;T2.5.2 Gestion des risques liés à la protection des personnes, des biens et des droits;Une analyse pertinente de la situation de gestion du risque en prenant en compte les priorités, les contingences et les caractéristiques de la PME | L’identification, le recensement et l’évaluation des risques de l’entreprise associés à son activité | Une veille réglementaire | La mise en place d’une méthodologie de gestion du risque rigoureuse et adaptée aux risques identifiés | Des recommandations pertinentes sur les équipements et installations nécessaires à la mise en œuvre de conditions de travail optimales | La proposition de modalités de prévention des effets de l’exposition aux facteurs de risques professionnels, l’accompagnement de bonnes pratiques | Un fonctionnement sécurisé du système informatique en accord avec le prestataire informatique | Des opérations de saisie des données, de suivi, de contrôle, de correction effectuées avec rigueur, réactivité et pertinence selon le projet ou le dossier pris en charge | Des propositions d’actions correctives et la mise en place de procédures d’amélioration | La constitution de dossiers et/ou la production des documents, un archivage des informations conformes aux obligations légales | Une utilisation adaptée du PGI (avec une extraction de données) et du tableur. | Une analyse pertinente de la situation de communication. | Une communication écrite ou orale pertinente et adaptée aux acteurs internes et externes. | La conduite professionnelle d’un entretien et d’une réunion. | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise. | L’utilisation pertinente de traitement de texte ou de logiciel de messagerie et de PréAO. | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte.;S2.5.3.1 La protection des personnes, des biens | S5.2 Communication écrite opérationnelle;
M14;Les déchets et l’énergie augmentent : repérer un risque environnemental exploitable;A2.5 Participation à la gestion des risques non financiers de la PME;Gérer des risques identifiés dans la PME;T2.5.3 Gestion des risques environnementaux;Une analyse pertinente de la situation de gestion du risque en prenant en compte les priorités, les contingences et les caractéristiques de la PME | L’identification, le recensement et l’évaluation des risques de l’entreprise associés à son activité | Une veille réglementaire | La mise en place d’une méthodologie de gestion du risque rigoureuse et adaptée aux risques identifiés | Des recommandations pertinentes sur les équipements et installations nécessaires à la mise en œuvre de conditions de travail optimales | La proposition de modalités de prévention des effets de l’exposition aux facteurs de risques professionnels, l’accompagnement de bonnes pratiques | Un fonctionnement sécurisé du système informatique en accord avec le prestataire informatique | Des opérations de saisie des données, de suivi, de contrôle, de correction effectuées avec rigueur, réactivité et pertinence selon le projet ou le dossier pris en charge | Des propositions d’actions correctives et la mise en place de procédures d’amélioration | La constitution de dossiers et/ou la production des documents, un archivage des informations conformes aux obligations légales | Une utilisation adaptée du PGI (avec une extraction de données) et du tableur. | Une analyse pertinente de la situation de communication. | Une communication écrite ou orale pertinente et adaptée aux acteurs internes et externes. | La conduite professionnelle d’un entretien et d’une réunion. | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise. | L’utilisation pertinente de traitement de texte ou de logiciel de messagerie et de PréAO. | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte.;S2.5.4 La gestion des risques environnementaux | S1.7 Fonctionnalités du PGI et d’outils bureautiques et numériques | S2.7 Fonctionnalités du PGI et d’outils bureautiques et numériques | S3.4 Fonctionnalités du PGI et d’outils bureautiques et numériques dans le cadre de la gestion du personnel et des ressources humaines | S4.8 Fonctionnalités d’outils bureautiques et numériques | S5.2 Communication écrite opérationnelle;
M15;Un salarié clique sur un faux mail et des données clients ont peut-être été exposées;A2.5 Participation à la gestion des risques non financiers de la PME;Gérer des risques identifiés dans la PME;T2.5.4 Gestion des risques informatiques et des risques liés aux données;Une analyse pertinente de la situation de gestion du risque en prenant en compte les priorités, les contingences et les caractéristiques de la PME | L’identification, le recensement et l’évaluation des risques de l’entreprise associés à son activité | Une veille réglementaire | La mise en place d’une méthodologie de gestion du risque rigoureuse et adaptée aux risques identifiés | Des recommandations pertinentes sur les équipements et installations nécessaires à la mise en œuvre de conditions de travail optimales | La proposition de modalités de prévention des effets de l’exposition aux facteurs de risques professionnels, l’accompagnement de bonnes pratiques | Un fonctionnement sécurisé du système informatique en accord avec le prestataire informatique | Des opérations de saisie des données, de suivi, de contrôle, de correction effectuées avec rigueur, réactivité et pertinence selon le projet ou le dossier pris en charge | Des propositions d’actions correctives et la mise en place de procédures d’amélioration | La constitution de dossiers et/ou la production des documents, un archivage des informations conformes aux obligations légales | Une utilisation adaptée du PGI (avec une extraction de données) et du tableur. | Une analyse pertinente de la situation de communication. | Une communication écrite ou orale pertinente et adaptée aux acteurs internes et externes. | La conduite professionnelle d’un entretien et d’une réunion. | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise. | L’utilisation pertinente de traitement de texte ou de logiciel de messagerie et de PréAO. | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte.;S2.5.5 La gestion des risques informatiques | S2.5.3.3 La protection des données;
M16;Les mêmes erreurs reviennent dans les commandes : passer du symptôme à une amélioration qualité;A2.6 Mise en place d’une démarche qualité au sein de la PME | A2.3 Mise en œuvre d’une démarche de gestion des risques de la PME;Mettre en place une démarche qualité au sein de la PME | Identifier, évaluer les risques de l’entreprise et proposer des actions correctrices;T2.6.1 Analyse de l’existant | T2.6.2 Formalisation, diffusion, contrôle et amélioration des procédures | T2.3.6 Mise en œuvre, diffusion et suivi des actions validées;Une analyse pertinente de la situation en prenant en compte les priorités, les contingences et les caractéristiques de l’entreprise | La mise en place d’une méthode de veille pertinente au regard des besoins de certification de la PME | La mise en place de dispositifs de détection, de diffusion et de suivi de la procédure, de «remédiation» des dysfonctionnements repérés | La mise en place d’outils et de procédures de partage des informations et des connaissances | Des opérations de suivi, de contrôle, de corrections effectuées avec rigueur, réactivité et pertinence La constitution de dossiers | Une utilisation pertinente du PGI (avec une extraction de données) et du tableur | Une analyse pertinente de la situation de communication. | Une communication écrite ou orale pertinente. | La conduite professionnelle d’un entretien et d’une réunion. | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques, argumentation) et des valeurs de l’entreprise. | Une communication d’informations fiables et actualisées. | L’utilisation pertinente de traitement de texte ou de logiciel de messagerie et de PréAO. | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte. | Une analyse pertinente de la situation en prenant en compte les priorités, les contingences et les caractéristiques de la PME | L’identification, le recensement et l’évaluation des risques de l’entreprise | L’évaluation de la fiabilité et de la pertinence des sources d’information | La proposition et la mise en place d’un archivage des documents conformes aux obligations légales | La proposition et la mise en place de procédures d’amélioration du travail et des propositions d’actions correctives conformes aux obligations légales | Une utilisation adaptée du PGI (avec une extraction de données) et du tableur | Une analyse pertinente de la situation de communication | Une communication écrite ou orale pertinente et adaptée aux acteurs internes et externes | La conduite professionnelle d’entretiens et de réunions | Des documents écrits de qualité professionnelle dans le respect des règles (orthographiques, syntaxiques, éthiques) et des valeurs de l’entreprise | L’utilisation adaptée du traitement de texte, de PréAO | La sélection et l’utilisation adaptée des outils ou services informatiques et numériques de communication adaptés au contexte;S2.6.1 La démarche qualité | S2.7 Fonctionnalités du PGI et d’outils bureautiques et numériques | S5.3 La modélisation des documents et l’interface homme-machine | S2.3 La gestion des risques;
M17;Un salarié commence lundi : préparer l’embauche sans oublier une formalité;A3.1 Gestion administrative du personnel de la PME;Assurer le suivi administratif du personnel Préparer les éléments de la paie et communiquer sur ces éléments Organiser les élections des représentants du personnel;T3.1.7 Communication avec la direction, les salariés, les instances représentatives du personnel de la PME, les spécialistes de gestion du personnel et l’administration | T3.1.1 Suivi des formalités et procédures d’embauche et de départ | T3.1.2 Organisation et suivi des dossiers du personnel;;S3.1.1 Les sources du droit social | S5.2 Communication écrite opérationnelle | S3.1.2 Les formalités d’embauche et de départ, le contrat de travail | S3.1.3 Les dossiers du personnel | S3.4 Fonctionnalités du PGI et d’outils bureautiques et numériques dans le cadre de la gestion du personnel et des ressources humaines | S5.4 La communication numérique écrite;
M18;Une absence arrive pendant la préparation de la paie;A3.1 Gestion administrative du personnel de la PME;Assurer le suivi administratif du personnel Préparer les éléments de la paie et communiquer sur ces éléments Organiser les élections des représentants du personnel;T3.1.3 Gestion du temps de travail, des absences et des congés | T3.1.4 Préparation et contrôle des éléments de la paie | T3.1.7 Communication avec la direction, les salariés, les instances représentatives du personnel de la PME, les spécialistes de gestion du personnel et l’administration;;S3.1.4 Les absences et congés du personnel | S3.1.5 La paie | S3.4 Fonctionnalités du PGI et d’outils bureautiques et numériques dans le cadre de la gestion du personnel et des ressources humaines | S3.1.1 Les sources du droit social | S3.1.3 Les dossiers du personnel | S5.1 Enjeux et concepts de base de communication | S5.2 Communication écrite opérationnelle | S5.4 La communication numérique écrite | S5.5 La communication orale interpersonnelle;
M19;La PME approche le seuil du CSE : vérifier l’obligation avant de lancer les élections;A3.1 Gestion administrative du personnel de la PME;Assurer le suivi administratif du personnel Préparer les éléments de la paie et communiquer sur ces éléments Organiser les élections des représentants du personnel;T3.1.6 Mise en place des modalités de représentation du personnel et de négociation au sein de l’entreprise | T3.1.7 Communication avec la direction, les salariés, les instances représentatives du personnel de la PME, les spécialistes de gestion du personnel et l’administration;;S3.1.1 Les sources du droit social | S3.1.6 La représentation des salariés | S5.2 Communication écrite opérationnelle | S5.6 La communication dans les groupes | S5.8 Les instruments de dialogue;
M20;Il faut recruter mais le besoin est encore flou;A3.2 Participation à la gestion des ressources humaines de la PME;Participer à la gestion des ressources humaines;T3.2.1 Aide au recrutement | T3.2.6 Communication avec la direction et les salariés de la PME, les organismes de formation, les organismes paritaires collecteurs, les prestataires externes du recrutement;;S3.2.1 Le recrutement | S3.4 Fonctionnalités du PGI et d’outils bureautiques et numériques dans le cadre de la gestion du personnel et des ressources humaines | S5.2 Communication écrite opérationnelle | S5.4 La communication numérique écrite | S5.5 La communication orale interpersonnelle;
M21;Plusieurs salariés demandent une formation : construire une proposition utile et chiffrée;A3.2 Participation à la gestion des ressources humaines de la PME;Participer à la gestion des ressources humaines;T3.2.3 Préparation et suivi des actions de formation | T3.2.5 Préparation et suivi de tableaux de bord sociaux | T3.2.6 Communication avec la direction et les salariés de la PME, les organismes de formation, les organismes paritaires collecteurs, les prestataires externes du recrutement | T3.2.1 Aide au recrutement;;S3.2.3 La formation | S3.2.5 Le tableau de bord social | S3.4 Fonctionnalités du PGI et d’outils bureautiques et numériques dans le cadre de la gestion du personnel et des ressources humaines | S3.2.1 Le recrutement;
M22;L’absentéisme augmente : produire un tableau de bord qui aide réellement le dirigeant;A3.2 Participation à la gestion des ressources humaines de la PME;Participer à la gestion des ressources humaines;T3.2.5 Préparation et suivi de tableaux de bord sociaux | T3.2.6 Communication avec la direction et les salariés de la PME, les organismes de formation, les organismes paritaires collecteurs, les prestataires externes du recrutement;;S3.2.5 Le tableau de bord social | S3.4 Fonctionnalités du PGI et d’outils bureautiques et numériques dans le cadre de la gestion du personnel et des ressources humaines | S5.2 Communication écrite opérationnelle | S1.7 Fonctionnalités du PGI et d’outils bureautiques et numériques | S2.7 Fonctionnalités du PGI et d’outils bureautiques et numériques | S4.8 Fonctionnalités d’outils bureautiques et numériques;
M23;Deux collègues ne se parlent plus et le travail d’équipe se bloque;A3.3 Contribution à la cohésion interne de la PME;Contribuer à la cohésion interne du personnel de l’entreprise;T3.3.1 Contribution à la qualité des relations interpersonnelles | T3.3.2 Contribution à la mise en place d’un travail collaboratif;;S3.3 Le travail collaboratif | S5.5 La communication orale interpersonnelle | S5.7 La gestion des conflits | S5.8 Les instruments de dialogue | S5.3 La modélisation des documents et l’interface homme-machine | S5.4 La communication numérique écrite | S5.6 La communication dans les groupes | S5.2 Communication écrite opérationnelle;
M24;Les fichiers sont partout et personne ne sait quelle version est la bonne;A4.1 Contribution à la qualité du système d’information de la PME;Représenter, analyser et améliorer le système d’information de la PME;T4.1.1 Caractérisation du système d’information | T4.1.4 Structuration des informations et des flux d’information | T4.1.5 Classement et archivage des documents | T4.1.6 Participation à l’évolution du système d’information;;S4.1.1 Le système d’information et sa représentation | S4.1.4 Les ressources, leur localisation et leurs rôles au sein du SI, leurs droits d’accès et les services de sécurité | S5.2 Communication écrite opérationnelle | S4.1.3 La gestion de l’archivage des documents;
M25;Planifier quinze interventions avec des urgences et des techniciens indisponibles;A4.2 Organisation des activités de la PME;Améliorer des processus support et organiser et suivre les activités de la PME;T4.2.3 Planification des activités et des prestations (chantiers, interventions, etc.) | T4.2.2 Amélioration et suivi de l’organisation du travail administratif;;S4.2.2 L’organisation des activités | S4.2.3 La gestion du temps | S4.8 Fonctionnalités d’outils bureautiques et numériques;
M26;Les ventes baissent : vérifier si le marché change avant de proposer une action;A4.3 Participation au développement commercial national ou international de la PME;Participer au développement commercial de la PME et à la fidélisation de la clientèle;T4.3.1 Veille commerciale et suivi de l’évolution du marché de l’entreprise | T4.3.2 Analyse des tendances du marché | T4.3.3 Fidélisation de la clientèle;;S4.3.1 Le marché de l’entreprise | S4.8.1 Fonctionnalités du PGI et d’outils bureautiques et numériques | S5.2 Communication écrite opérationnelle | S4.3.2 La stratégie commerciale et sa mise en œuvre | S4.3.3 Les techniques de fidélisation;
M27;La PME veut lancer une campagne sur les réseaux sociaux sans perdre son image;A4.4 Contribution à la mise en œuvre de la communication de la PME;Accompagner le déploiement du plan de communication de la PME;T4.4.1 Contribution à la communication institutionnelle | T4.4.2 Contribution à la communication commerciale | T4.4.4 Contrôle du respect de l’image dans les actions de communication;;S4.4.1 Communication globale et identité de l’entreprise | S5.2 Communication écrite opérationnelle | S4.4.2 La communication institutionnelle | S4.4.3 La communication commerciale | S4.4.4 La communication digitale | S4.8.1 Fonctionnalités du PGI et d’outils bureautiques et numériques | S5.4 La communication numérique écrite;
M28;Un produit se vend bien mais le dirigeant doute de sa rentabilité;A4.5 Participation à l’analyse de l’activité de la PME | A4.6 Participation au diagnostic financier de la PME;Analyser l’activité de la PME | Produire et analyser des informations de nature financière;T4.5.1 Calcul et analyse des coûts et des résultats | T4.5.3 Mesure de l’impact de décisions de gestion sur les coûts et les résultats | T4.5.2 Réalisation des budgets prévisionnels | T4.6.2 Mesure de l’impact de décisions de gestion sur les équilibres financiers;;S4.5.1 La performance | S4.5.2 Calcul et analyse des coûts et des résultats | S4.8.1 Fonctionnalités du PGI et d’outils bureautiques et numériques | S4.5.3 Le seuil de rentabilité | S4.5.4 La démarche budgétaire | S4.6.1 L’analyse financière de l’entreprise | S4.6.2 Le plan de financement;
M29;Financer une machine : comparer les solutions sans choisir à la place du dirigeant;A4.6 Participation au diagnostic financier de la PME | A4.5 Participation à l’analyse de l’activité de la PME;Produire et analyser des informations de nature financière | Analyser l’activité de la PME;T4.6.1 Analyse financière | T4.6.2 Mesure de l’impact de décisions de gestion sur les équilibres financiers | T4.5.3 Mesure de l’impact de décisions de gestion sur les coûts et les résultats;;S4.6.1 L’analyse financière de l’entreprise | S4.8.1 Fonctionnalités du PGI et d’outils bureautiques et numériques | S4.6.2 Le plan de financement | S4.6.3 Les modes de financement des investissements | S5.2 Communication écrite opérationnelle | S4.5.1 La performance | S4.5.2 Calcul et analyse des coûts et des résultats | S4.5.3 Le seuil de rentabilité | S4.5.4 La démarche budgétaire;
M30;Le tableau de bord contient 40 chiffres : repérer ce qui mérite vraiment une alerte;A4.7 Participation à l’élaboration de tableaux de bord de la PME;Identifier les facteurs explicatifs de la performance commerciale et financière Concevoir et analyser un tableau de bord;T4.7.1 Conception et suivi des indicateurs pertinents de gestion et d’alerte | T4.7.2 Établissement d’un tableau de bord dans ses dimensions commerciales et financières;;S4.7.1 Le tableau de bord | S4.8 Fonctionnalités d’outils bureautiques et numériques | S5.2 Communication écrite opérationnelle;
