id;title;decision;role;format;objectif;representation_mentale;motif
R-B1-014;Traiter et suivre une réclamation client jusqu’à sa clôture;surveiller;aucun ajout v3.6;processus;Toute réclamation reçue par téléphone, courriel, formulaire, réseau social ou intermédiaire.;Une fiche de réclamation complète : faits, attente, preuve, cause, responsabilité de traitement, solution validée, réponse client, délai et clôture.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-015;Formaliser un besoin d’achat ou d’investissement avant de consulter;conserver;aucun ajout v3.6;texte-structure;Achat nouveau, renouvellement, investissement, changement de fournisseur ou besoin exprimé par un service.;Un cahier des charges proportionné : besoin, quantité, usage, exigences, contraintes, critères de comparaison, budget indicatif et calendrier.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B1-016;Rechercher et présélectionner des fournisseurs;conserver;aucun ajout v3.6;texte-structure;Nouveau besoin, recherche d’alternative, mise en concurrence, dépendance excessive à un fournisseur.;Une short-list de fournisseurs avec coordonnées, capacités, preuves, conditions principales, source des informations et date de vérification.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B1-017;Comparer des offres fournisseurs et préparer une recommandation;conserver;aucun ajout v3.6;texte-regle;Après une consultation fournisseur ou pour renouveler une prestation/équipement.;Un tableau comparatif traçable et une recommandation présentant avantages, limites, risques et points à négocier.;"La précision des règles, conditions, pièces et contrôles prime ; un visuel supplémentaire risquerait de masquer les nuances."
R-B1-018;Préparer une négociation fournisseur;surveiller;aucun ajout v3.6;processus;Renouvellement de contrat, achat significatif, hausse tarifaire, incident répété ou négociation de conditions.;Un dossier préparatoire : objectifs, priorités, arguments, concessions possibles, points non négociables, solution de repli et preuves.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-019;Passer et suivre une commande fournisseur;visuel ajouté v3.6;complement;timeline;Voir la commande fournisseur comme un cycle de suivi et non un acte ponctuel.;besoin → commande → accusé → suivi → réception → écart;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B1-020;Contrôler un achat, une facture fournisseur et préparer le règlement;visuel ajouté v3.6;central;rapprochement;Comprendre que le paiement suppose la cohérence de plusieurs pièces.;commande ↔ réception ↔ facture → écart ou validation → règlement;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B1-021;Suivre les stocks et déclencher un réapprovisionnement;surveiller;aucun ajout v3.6;processus;Suivi périodique des articles, alerte de stock, préparation d’une commande ou analyse d’une rupture.;Un état de stock fiable avec besoin de réapprovisionnement justifié, quantité proposée et date de commande.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-022;Préparer l’acquisition et le suivi administratif d’une immobilisation;surveiller;aucun ajout v3.6;processus;Achat de matériel, véhicule, équipement ou autre actif traité comme immobilisation selon les choix de l’entité.;Un dossier d’acquisition complet : autorisation, fournisseur, commande, réception, facture, mise en service, localisation, garanties et données transmises au suivi comptable.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-023;Évaluer la performance d’un fournisseur et préparer des actions;visuel ajouté v3.6;complement;scorecard;Se représenter l’évaluation fournisseur comme plusieurs dimensions observables, pas une note globale arbitraire.;qualité + délai + coût + service + risque → preuves → appréciation;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B1-024;Contrôler l’enregistrement comptable d’une opération commerciale;surveiller;aucun ajout v3.6;processus;Contrôle d’un journal achats/ventes/banque, recherche d’un écart ou préparation d’une clôture périodique.;Une liste de contrôles effectués et, s’il existe des anomalies, une proposition de correction ou une alerte documentée.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-025;Réaliser et contrôler un rapprochement bancaire;visuel ajouté v3.6;central;pont;Comprendre le rapprochement bancaire comme la mise en cohérence de deux visions d’un même flux.;comptabilité + relevé bancaire → éléments non pointés → rapprochement → soldes expliqués;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B1-026;Suivre les comptes clients et fournisseurs avec une balance âgée;surveiller;aucun ajout v3.6;processus;Suivi périodique des tiers, clôture mensuelle, relance clients, contrôle fournisseurs.;Une balance âgée ou un état de comptes tiers nettoyé : échéances, lettrage, litiges, avoirs, retards et actions.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-027;Préparer et contrôler une déclaration de TVA à partir du PGI;conserver;aucun ajout v3.6;texte-regle;Avant une échéance de TVA ou lors d’un contrôle d’écart entre comptabilité et déclaration.;Un dossier de préparation : période, régime, bases, TVA collectée/déductible, contrôles, anomalies, déclaration préparée et éléments à faire valider.;"La précision des règles, conditions, pièces et contrôles prime ; un visuel supplémentaire risquerait de masquer les nuances."
R-B1-028;Repérer et suivre les risques liés à un échange international;surveiller;aucun ajout v3.6;processus;Préparation ou suivi d’une opération d’import/export, d’une facture en devise, d’un paiement international ou d’un contrat comportant des modalités documentaires.;Une fiche de risques : devise, paiement, délai, documents, transport/contrat, contrepartie, exposition et mesures proposées à la direction.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-029;Préparer une action de communication pour développer la relation client;surveiller;aucun ajout v3.6;processus;Après une vente, avant un renouvellement, pour informer d’un nouveau service, réactiver des clients ou maintenir une relation régulière.;Une action ciblée avec objectif, destinataires, message, canal, calendrier, règles de suivi et indicateurs simples.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-030;Traiter une anomalie de livraison avant qu’elle ne devienne une réclamation;surveiller;aucun ajout v3.6;processus;Dès qu’un écart apparaît entre commande, préparation, expédition, livraison ou information du client.;Un diagnostic de l’écart, une information client cohérente, une action de correction tracée et une mise à jour du suivi de vente.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-031;Corriger une facture et préparer un avoir sans perdre la traçabilité;surveiller;aucun ajout v3.6;processus;Après détection d’une erreur interne, un retour, une annulation partielle ou une contestation justifiée du client.;Une correction documentée reliant facture initiale, motif, pièce corrective et mise à jour du compte client.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B1-032;Fiabiliser le système d’information fournisseurs après une recherche ou une évaluation;conserver;aucun ajout v3.6;texte-structure;Après référencement d’un nouveau fournisseur, modification de coordonnées/conditions, évaluation périodique ou détection d’un doublon.;Une fiche fournisseur fiable, datée, sans doublon, avec les informations utiles au processus d’achat et leur source.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B2-001;Évaluer et hiérarchiser les risques d’une PME;visuel ajouté v3.6;central;processus;Se représenter l’analyse des risques comme une démarche ordonnée.;identifier → évaluer → comparer → prioriser → traiter → suivre;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-002;Construire une matrice de criticité;visuel ajouté v3.6;central;matrice;Voir immédiatement comment deux dimensions se croisent pour hiérarchiser.;gravité × probabilité → position dans une matrice → priorité à interpréter;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-003;Contribuer à la mise à jour du DUERP;conserver;aucun ajout v3.6;texte-structure;Lorsqu’une PME doit évaluer ou réévaluer les risques professionnels d’une unité de travail, après une évolution importante des conditions de travail, lorsqu’une nouvelle information sur un risque apparaît, ou dans le cadre de la mise à jour périodique du document unique.;Une analyse traçable d’une unité de travail : situations observées, dangers, personnes exposées, risques évalués, mesures existantes et propositions de prévention, prête à être examinée et validée par le responsable.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B2-004;Veille — décider quoi surveiller et construire un dispositif utile à la PME;visuel ajouté v3.6;central;processus;Comprendre comment un risque ou un besoin d’information devient un dispositif de veille.;risque/besoin → information à surveiller → source → fréquence → alerte → destinataire → preuve;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-005;Qualifier une source et une information;visuel ajouté v3.6;complement;decision;Éviter de confondre résultat trouvé et source exploitable.;source trouvée → auteur/date/compétence → corroboration → usage possible;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-006;Transformer une veille en synthèse et en alerte actionnable;conserver;aucun ajout v3.6;texte-structure;Quand une évolution détectée peut créer un risque, une opportunité ou nécessiter une modification de procédure.;Une synthèse courte, sourcée et orientée décision, avec éventuellement une alerte et une proposition de mise à jour de pratique.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B2-007;Cadrer un projet avant de le lancer;conserver;aucun ajout v3.6;texte-structure;Avant la planification, dès qu’un projet implique plusieurs acteurs, des contraintes, un résultat à livrer ou une modification de l’organisation.;Une note de cadrage validable : besoin, objectifs, périmètre, livrables, acteurs, contraintes, critères de réussite et risques principaux.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B2-008;Construire un cahier des charges et planifier les tâches;visuel ajouté v3.6;central;gantt;Se représenter un projet comme des tâches ordonnées dans le temps avec dépendances.;tâches → durée → dépendances → jalons → responsables;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-009;Préparer et conduire une réunion de projet;surveiller;aucun ajout v3.6;processus;Réunion de lancement, point d’avancement, arbitrage, réception ou retour d’expérience.;Une réunion préparée, conduite dans le temps prévu et conclue par un relevé de décisions avec actions, responsables et échéances.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B2-010;Suivre un projet et traiter les écarts;surveiller;aucun ajout v3.6;processus;Pendant toute la réalisation et lors des bilans d’étape.;Un tableau de suivi à jour, des écarts expliqués, des actions correctives proposées et des décisions tracées.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B2-011;Identifier et formuler les risques d’une PME;visuel ajouté v3.6;central;chaine-causale;Passer d’un constat d’activité à un risque formulé sans confondre cause, événement et conséquence.;activité → dépendance/vulnérabilité → événement redouté → conséquence → preuve;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-012;Identifier les obligations applicables à un risque;conserver;aucun ajout v3.6;texte-structure;Avant de conclure qu’une pratique est conforme ou non conforme, ou avant de proposer une action corrective.;Un registre des exigences : source, champ d’application, exigence, preuve attendue, responsable, échéance et état de conformité.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B2-013;Construire et suivre un plan de traitement des risques;visuel ajouté v3.6;central;boucle;Comprendre qu’un plan de traitement lie risque, action, responsable, délai et preuve d’efficacité.;risque prioritaire → action → responsable/délai → preuve → contrôle → ajustement;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-014;Construire et contrôler un budget de trésorerie;surveiller;aucun ajout v3.6;calcul-tableau;À partir d’échéanciers clients/fournisseurs, prévisions de ventes et d’achats, documents bancaires, investissements et autres flux prévus.;Un budget de trésorerie exact, contrôlé et commenté, permettant d’identifier les périodes de tension.;Un schéma ou une formule peut aider, mais seulement s’il clarifie le mécanisme sans remplacer les calculs et contrôles.
R-B2-015;Diagnostiquer une tension de trésorerie et préparer des solutions;surveiller;aucun ajout v3.6;calcul-tableau;Après construction du budget de trésorerie ou lors d’un incident affectant les flux.;Un diagnostic chiffré, une alerte proportionnée et plusieurs solutions comparées avant décision de la direction.;Un schéma ou une formule peut aider, mais seulement s’il clarifie le mécanisme sans remplacer les calculs et contrôles.
R-B2-016;Analyser la couverture d’assurance d’un risque;surveiller;aucun ajout v3.6;processus;Analyse d’une police, préparation d’un renouvellement, après un sinistre ou lors de l’apparition d’un nouveau risque.;Un tableau reliant les risques de la PME aux garanties, exclusions, franchises, plafonds, obligations et éventuels écarts de couverture.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B2-017;Choisir une protection adaptée pour un actif de propriété intellectuelle;conserver;aucun ajout v3.6;texte-structure;Avant un lancement, un dépôt, une communication publique, un contrat de licence ou lorsqu’un droit arrive à échéance.;Une fiche de protection précisant l’actif, le titulaire, le droit potentiellement adapté, le territoire, les vérifications à mener, les échéances et la décision à faire valider.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B2-018;Vérifier la conformité d’un traitement de données personnelles;visuel ajouté v3.6;complement;decision;Se représenter un contrôle RGPD comme une suite de questions, tout en conservant le texte réglementaire.;traitement → finalité/base → données/minimisation → droits/sécurité → preuve;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-019;Réagir à une violation de données personnelles;visuel ajouté v3.6;central;timeline-decision;Donner une chronologie mentale d’un incident de données et distinguer faits, décision de notification et suivi.;alerter → chronologie → contenir → documenter → évaluer → notifier si requis → corriger;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-020;Identifier et réduire les risques environnementaux d’une PME;conserver;aucun ajout v3.6;texte-structure;Diagnostic environnemental, évolution réglementaire, hausse de consommation, changement de prestataire déchets ou incident environnemental.;Une analyse reliant activité, aspect environnemental, conséquence, exigence éventuelle, mesure existante, indicateur et action proposée.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B2-021;Évaluer les risques informatiques d’une PME et préparer des mesures;surveiller;aucun ajout v3.6;processus;Après un incident, avant un projet informatique, lors d’un audit ou à la demande de la direction.;Un registre des risques informatiques priorisés, avec actifs critiques, menaces, vulnérabilités, mesures existantes et recommandations à discuter avec le prestataire.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B2-022;Organiser les sauvegardes et tester la restauration;surveiller;aucun ajout v3.6;processus;Diagnostic informatique, modification du système, changement de prestataire, après un incident ou lors d’un contrôle périodique.;Un plan de sauvegarde documenté et un procès-verbal de test de restauration indiquant données, fréquence, support, accès, localisation, test, résultat et actions correctives.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B2-023;Contrôler les habilitations et les droits d’accès;surveiller;aucun ajout v3.6;processus;Arrivée, changement de poste, départ, audit, incident ou revue périodique des comptes.;Une matrice d’habilitations contrôlée, avec comptes, rôles, applications, droits attendus, droits constatés, écarts et actions à faire valider.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B2-024;Diagnostiquer un dysfonctionnement qualité et rechercher ses causes;visuel ajouté v3.6;central;causes;Comprendre que les outils qualité servent à passer du symptôme aux causes vérifiées.;problème mesuré → familles de causes → hypothèses → vérification → cause racine;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-025;Formaliser, diffuser et améliorer une procédure;visuel ajouté v3.6;central;flowchart;Voir une procédure comme une séquence d’actions, décisions, rôles et preuves.;déclencheur → action → décision → responsable → preuve → fin;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-026;Organiser le partage et la conservation des connaissances utiles;visuel ajouté v3.6;central;cycle;Comprendre la gestion des connaissances comme un cycle et non comme un simple stockage de fichiers.;identifier → formaliser → stocker → partager → réutiliser → mettre à jour;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B2-027;Préparer une veille et un dossier de certification;conserver;aucun ajout v3.6;texte-regle;Étude d’opportunité, préparation d’audit, renouvellement ou évolution d’une certification.;Un dossier de suivi indiquant référentiel applicable, version, champ, exigences à préparer, preuves, acteurs, échéances, écarts et actions.;"La précision des règles, conditions, pièces et contrôles prime ; un visuel supplémentaire risquerait de masquer les nuances."
R-B2-028;Transformer une information de veille en mise à jour de pratique ou de procédure;conserver;aucun ajout v3.6;texte-structure;Après validation d’une information réglementaire, technique, commerciale ou organisationnelle ayant un impact sur une pratique existante.;Une fiche d’impact et une proposition de mise à jour précisant ce qui change, pour qui, à partir de quand, dans quels documents et avec quel contrôle.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B2-029;Suivre une action corrective et vérifier qu’elle réduit réellement le risque;surveiller;aucun ajout v3.6;processus;Dès qu’un plan de traitement est accepté : prévention, procédure, équipement, formation, transfert ou autre action.;Un suivi documenté avec responsable, échéance, preuve de réalisation, indicateur d’efficacité et réévaluation du risque résiduel.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B2-030;Préparer et suivre un dossier de sinistre auprès de l’assureur;surveiller;aucun ajout v3.6;processus;Vol, dégât des eaux, dommage matériel, accident ou autre événement susceptible d’être couvert par un contrat de la PME.;Un dossier chronologique avec faits, pièces, contrat concerné, échanges, échéances, coûts et état de suivi.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B2-031;Organiser le suivi administratif d’une démarche de certification;conserver;aucun ajout v3.6;texte-regle;Préparation d’un audit, renouvellement, suivi d’écarts ou constitution du dossier de certification.;Un plan de suivi avec exigences, responsables, preuves attendues, échéances, état d’avancement et anomalies à traiter.;"La précision des règles, conditions, pièces et contrôles prime ; un visuel supplémentaire risquerait de masquer les nuances."
R-B3-001;Identifier la règle sociale applicable avant d’agir;conserver;aucun ajout v3.6;texte-regle;Avant une embauche, un congé, une absence, une paie, une élection, une rupture ou toute réponse à un salarié lorsque la règle applicable n’est pas certaine.;Une réponse sourcée indiquant la règle applicable, son champ, la date de vérification, les éventuelles dispositions conventionnelles et le point qui doit être validé.;"La précision des règles, conditions, pièces et contrôles prime ; un visuel supplémentaire risquerait de masquer les nuances."
R-B3-002;Préparer l’embauche d’un salarié sans oublier les formalités obligatoires;visuel ajouté v3.6;complement;timeline;Se représenter l’embauche comme une succession de formalités et contrôles.;besoin/validation → données candidat → formalités → contrat → accueil/dossier;Le visuel réduit l’effort nécessaire pour reconstruire mentalement une structure, un enchaînement, une relation ou une décision.
R-B3-003;Contrôler un contrat de travail avant signature;conserver;aucun ajout v3.6;texte-regle;Avant signature d’un CDI, CDD, temps partiel ou avenant préparé à partir d’un modèle.;Une grille de contrôle signalant les mentions présentes, les incohérences, les données manquantes et les clauses à faire valider.;"La précision des règles, conditions, pièces et contrôles prime ; un visuel supplémentaire risquerait de masquer les nuances."
R-B3-004;Préparer le départ d’un salarié et contrôler les documents de fin de contrat;conserver;aucun ajout v3.6;texte-regle;Fin de CDD, démission, rupture conventionnelle, licenciement ou autre fin de relation de travail déjà décidée et sécurisée par la personne compétente.;Un dossier de sortie complet : dates contrôlées, variables de paie, documents de fin de contrat, signalements nécessaires, restitution des biens, suppression des accès et archivage.;"La précision des règles, conditions, pièces et contrôles prime ; un visuel supplémentaire risquerait de masquer les nuances."
R-B3-005;Organiser un dossier du personnel conforme et exploitable;surveiller;aucun ajout v3.6;processus;Création d’un dossier d’embauche, audit de dossiers existants, départ d’un salarié ou migration vers un dossier numérique.;Une arborescence RH claire, une matrice des droits d’accès et un tableau de conservation indiquant pour chaque famille de documents la durée et le sort en fin de période.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B3-006;Suivre le temps de travail et repérer les anomalies;surveiller;aucun ajout v3.6;processus;Contrôle hebdomadaire ou mensuel des relevés d’heures, planning, badgeuse, feuilles de temps ou logiciel RH.;Un état contrôlé du temps de travail par salarié, avec anomalies, justificatifs manquants, écarts à corriger et variables à transmettre à la paie.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
R-B3-007;Gérer les congés et absences sans fausser les droits du salarié;conserver;aucun ajout v3.6;texte-regle;Congés payés, arrêt maladie, événement familial ou autre absence prévue par la loi, la convention collective ou l’entreprise.;Une fiche d’absence indiquant le motif administratif, les dates, le justificatif attendu, l’effet sur le compteur et la paie, les formalités à réaliser et la règle vérifiée.;"La précision des règles, conditions, pièces et contrôles prime ; un visuel supplémentaire risquerait de masquer les nuances."
R-B3-008;Collecter et fiabiliser les variables de paie;conserver;aucun ajout v3.6;texte-structure;Chaque cycle de paie : nouveaux salariés, temps de travail, absences, primes, avantages, frais, acomptes, départs et régularisations.;Un tableau de variables de paie complet, daté, justifié et validé, prêt à être saisi dans le logiciel ou transmis au prestataire.;"Aucun gain visuel évident identifié à ce stade ; la structure actuelle paraît plus directe que l’ajout d’un schéma."
R-B3-009;Contrôler un bulletin de paie avant validation;surveiller;aucun ajout v3.6;processus;Contrôle d’un bulletin généré par le PGI, le logiciel de paie ou le prestataire.;Une grille de contrôle avec données d’identité, contrat, temps, rémunération, cotisations, net social, net à payer, prélèvement à la source et variations expliquées.;"La fiche suit une démarche. Un visuel peut être utile si les élèves ont besoin de voir l’ordre, les dépendances ou les points de décision ; à confirmer par l’usage en TP."
